IANUS-Inhalte,Data creation,Data processing and storage,Data usage,Data archiving,Data destruction
3D,x,,,,
3D-Modellierung,x,,,,
3D Scan,x,,,,
Archivierung,,,,x,
Audio und Video,x,,,,
Ausgrabungsdokumentation,,,,,
Auszeichnungssprachen,,,,,
Bildbearbeitung,x,,,,
CAD,x,,x,,
Datenbanken,,x,,x,
Datenkuratierung,,x,,x,x
Datenmanagement,,x,,x,x
Datenpräsentation,,,x,,
Dig. Editieren,x,x,x,,
Dig. Methoden & Theorien,x,x,x,,
Digital Humanities,x,x,x,x,x
Digitale Datenauswertung,,,,,
Digitale Dokumentation,,,,,
Digitale Ressourcen,,,,,
Digitale Vermessung,,,,,
Digitalisierung,x,x,x,,
EDV,,,,,
Fotografie,x,,,,
Geophysik,x,,,,
GIS,x,,x,,
Internet,x,x,x,,
Laserscanning,x,,,,
Metadaten,,,,x,
Online-Ressourcen,,,x,,
Photogrammetrie,x,,x,,
Programmierung,x,x,x,,
R,x,x,x,,
Software und Tools,x,x,x,x,x
Space Syntax,,,,,
Spatial Analysis,,,x,,
Statistik,,,x,,
Textanalyse,,,x,,
Visualisierung,,,x,,
Web-Kartierung,,,,,
Webtechnologien,,x,x,x,
Zeichnen,x,,,,
